symbol,ltp,change,change_p,open,high,low,prev_close,52w_high,52w_low,volume,longName,industry,sector,fullExchangeName,website,city,marketCap,regularMarketTime,currentPrice,dayHigh,dayLow,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalDebt,totalRevenue,returnOnEquity,profitMargins,bookValue,priceToBook,trailingPE,forwardPE,trailingEps,dividendYield,payoutRatio,lastSplitFactor,lastSplitDate,beta
RELIANCE,1435.2,-1.0,-0.069628194,1426.0,1442.8,1417.5,1436.2,1611.8,1290.0,8662241,Reliance Industries Limited,Oil & Gas Refining & Marketing,Energy,NSE,https://www.ril.com,Mumbai,19421804363776,1778234400,1435.2,1442.8,1417.5,1436.2,-1.0,-0.069628194,1290.0,1611.8,1379.01,1432.1365,18626537,13532472634,0.51048,0.27989998,2434079916032,3979999969280,10572189925376,0.09139,0.0764,667.995,2.148519,24.0402,19.968178,59.7,0.38,0.0921,2:1,1730073600,0.244
HDFCBANK,780.85,-15.200012,-1.9094294,784.0,788.75,777.2,796.05,1020.5,726.65,38003472,HDFC Bank Limited,Banks - Regional,Financial Services,NSE,https://www.hdfc.bank.in,Mumbai,12021520138240,1778234400,780.85,788.75,777.2,796.05,-15.200012,-1.9094294,726.65,1020.5,798.774,926.7488,44535032,15395428340,0.00166,0.56905997,3119260631040,5884845490176,2833153523712,0.13818,0.26834,367.242,2.1262546,17.42191,12.409597,44.82,1.66,0.2176,2:1,1756166400,0.481
BAJFINANCE,955.35,-17.400024,-1.7887459,971.0,971.95,951.0,972.75,1102.5,787.9,5554394,Bajaj Finance Limited,Credit Services,Financial Services,NSE,https://www.aboutbajajfinserv.com/finance-about-us,Pune,5940248051712,1778234399,955.35,971.95,951.0,972.75,-17.400024,-1.7887459,787.9,1102.5,900.216,963.8095,9533570,6217876336,0.56262,0.24656,181471805440,3666413092864,438345793536,0.17907,0.43383998,183.372,5.2099013,31.343504,19.339237,30.48,0.57,0.1442,2:1,1750032000,0.407
BHARTIARTL,1834.5,7.9000244,0.4324989,1820.0,1840.8,1815.2,1826.6,2174.5,1746.9,4839078,Bharti Airtel Limited,Telecom Services,Communication Services,NSE,https://www.airtel.in,New Delhi,11174805504000,1778234400,1834.5,1840.8,1815.2,1826.6,7.9000244,0.4324989,1746.9,2174.5,1837.59,1962.2004,9250326,6090538098,0.48026,0.32606998,276804009984,1979059011584,2034658050048,0.23125,0.14937,204.916,8.952449,36.23346,27.704948,50.63,0.87,0.31620002,2:1,1248393600,0.043
ICICIBANK,1264.8,-14.199951,-1.1102386,1279.6,1279.6,1261.2,1279.0,1500.0,1187.6,11137089,ICICI Bank Limited,Banks - Regional,Financial Services,NSE,https://www.icici.bank.in,Mumbai,9065520431104,1778234400,1264.8,1279.6,1261.2,1279.0,-14.199951,-1.1102386,1187.6,1500.0,1289.956,1362.7015,17968286,7167552652,0.0301,0.56498003,2649807126528,2202642677760,2174509514752,0.16359,0.24929,506.986,2.4947436,16.920403,13.925367,74.75,0.87,0.1471,11:10,1497916800,0.28
AXISBANK,1268.3,-24.399902,-1.8875148,1280.0,1282.0,1264.6,1292.7,1418.3,1042.5,6358554,Axis Bank Limited,Banks - Regional,Financial Services,NSE,https://www.axis.bank.in,Mumbai,3943100055552,1778234400,1268.3,1282.0,1264.6,1292.7,-24.399902,-1.8875148,1042.5,1418.3,1280.706,1236.2305,7286325,3108964572,0.02631,0.69866997,786273730560,2805106212864,745198780416,0.13152,0.35406,692.118,1.8324912,15.014798,9.986614,84.47,0.08,0.0117999995,5:1,1406505600,0.45
ETERNAL,256.39,-1.0299988,-0.40012383,255.81,257.4,252.6,257.42,368.45,212.6,17609807,Eternal Limited,Internet Retail,Consumer Cyclical,NSE,https://www.eternal.com,Gurugram,2357222178816,1778234400,256.39,257.4,252.6,257.42,-1.0299988,-0.40012383,212.6,368.45,243.0664,289.59634,51519694,9193892179,0.27196,0.51117,66140000256,45920002048,543639994368,0.01194,0.0067299996,33.193,7.7242193,674.7106,62.819443,0.38,,0.0,,,0.276
SBIN,1019.3,-72.70001,-6.6575103,1090.0,1095.0,1010.9,1092.0,1234.7,779.1,48038373,State Bank of India,Banks - Regional,Financial Services,NSE,https://sbi.bank.in,Mumbai,9408768638976,1778234400,1019.3,1095.0,1010.9,1092.0,-72.70001,-6.6575103,779.1,1234.7,1073.697,983.3435,17652071,9230617586,0.5692,0.29535,3133929684992,6853875990528,3700534018048,,0.22498,641.361,1.5892764,11.185121,9.626715,91.13,1.46,0.1731,10:1,1416441600,0.471
INFY,1179.2,16.5,1.4191108,1161.0,1183.5,1158.8,1162.7,1728.0,1149.8,7580520,Infosys Limited,Information Technology Services,Technology,NSE,https://www.infosys.com,Bengaluru,4772231380992,1778234400,1179.2,1183.5,1158.8,1162.7,16.5,1.4191108,1149.8,1728.0,1259.596,1457.4764,14360041,4047007852,0.16068001,0.4884,3705999872,967000000,20157999104,0.31439,0.16434999,213.1117,5.5332484,15.599947,14.401179,75.59,4.24,0.6465,2:1,1536019200,0.127
BAJAJ-AUTO,10711.5,106.5,1.0042433,10625.0,10785.0,10540.0,10605.0,10785.0,7778.0,375623,Bajaj Auto Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://www.bajajauto.com,Pune,2991419293696,1778234399,10711.5,10785.0,10540.0,10605.0,106.5,1.0042433,7778.0,10785.0,9476.29,9201.155,379619,279271733,0.59966,0.15821,108835495936,226398502912,650872225792,0.28046,0.16507,1223.784,8.752769,27.855358,22.742039,384.54,1.4,0.5463,2:1,1283904000,0.706
